date,open,high,low,close,volume,trade_count,vwap
2022-03-01,435.04,437.17,427.11,429.98,139991559.0,1422070.0,431.156422
2022-03-02,432.37,439.72,431.57,437.89,120234911.0,1252759.0,436.696446
2022-03-03,440.47,441.11,433.8,435.71,105501865.0,1039162.0,436.905751
2022-03-04,431.75,433.37,427.88,432.17,113974262.0,1083494.0,430.579398
2022-03-07,431.55,432.3018,419.36,419.43,138047941.0,1448623.0,423.722261
2022-03-08,419.62,427.21,415.12,416.25,167638902.0,1950904.0,419.91118
2022-03-09,425.14,429.51,422.82,427.41,117271076.0,1133573.0,426.726945
2022-03-10,422.52,426.43,420.44,425.48,95329689.0,917460.0,423.634099
2022-03-11,428.12,428.77,419.53,420.07,95687775.0,835159.0,424.000023
2022-03-14,420.89,424.55,415.79,417.0,95874528.0,897067.0,419.149339
2022-03-15,419.77,426.84,418.42,426.17,108235310.0,949207.0,423.381891
2022-03-16,429.89,435.68,424.8,435.62,144954949.0,1405239.0,431.546686
2022-03-17,433.59,441.07,433.19,441.07,104062578.0,812426.0,437.745814
2022-03-18,438.0,444.86,437.22,444.52,106542902.0,812972.0,441.591837
2022-03-21,444.34,446.46,440.68,444.39,88839174.0,937038.0,443.72015
2022-03-22,445.86,450.58,445.86,449.59,76931148.0,637080.0,448.839184
2022-03-23,446.91,448.49,443.71,443.8,81316132.0,641640.0,445.940083
2022-03-24,445.94,450.5,444.76,450.49,64917269.0,538729.0,447.979543
2022-03-25,451.16,452.98,448.43,452.69,77990305.0,661137.0,450.904496
2022-03-28,452.06,455.91,450.06,455.84,71058111.0,624231.0,453.222488
2022-03-29,460.02,462.07,457.18,461.53,91635758.0,738526.0,459.98939
2022-03-30,460.34,461.195,456.465,458.79,82462768.0,659201.0,458.933229
2022-03-31,457.89,458.76,451.16,451.64,121830006.0,755688.0,455.276967
2022-04-01,453.31,453.46,449.14,452.92,90526299.0,624358.0,451.637593
2022-04-04,453.13,456.91,452.26,456.8,61390954.0,504727.0,455.338444
2022-04-05,455.22,457.83,449.82,451.03,75760010.0,646033.0,453.290988
2022-04-06,446.89,448.93,443.47,446.52,107084639.0,903941.0,446.030103
2022-04-07,445.59,450.69,443.53,448.77,78235837.0,632865.0,447.052123
2022-04-08,447.97,450.63,445.94,447.57,79354344.0,574193.0,448.257651
2022-04-11,444.11,445.0,439.39,439.92,92393812.0,781088.0,441.823635
2022-04-12,443.08,445.75,436.6501,438.29,85677975.0,696837.0,440.870431
2022-04-13,438.03,444.11,437.84,443.31,75731466.0,567448.0,441.569456
2022-04-14,443.55,444.7301,437.68,437.79,100061421.0,705567.0,440.320292
2022-04-18,436.81,439.75,435.61,437.97,67080101.0,575889.0,437.771408
2022-04-19,437.86,445.8,437.68,445.04,79209141.0,599076.0,443.359495
2022-04-20,446.92,447.57,443.48,444.71,66224261.0,595915.0,445.630069
2022-04-21,448.54,450.01,437.1,438.06,86898329.0,722881.0,442.653343
2022-04-22,436.91,438.0825,425.44,426.04,134318097.0,970518.0,429.856012
2022-04-25,423.67,428.69,418.84,428.51,121150668.0,1146072.0,423.707939
2022-04-26,425.83,426.04,416.07,416.1,104173893.0,1007660.0,420.196992
2022-04-27,417.24,422.92,415.01,417.27,122342063.0,1010493.0,419.130523
2022-04-28,422.29,429.64,417.6,427.81,107789356.0,807524.0,424.619909
2022-04-29,423.59,425.87,411.21,412.0,148702518.0,1146290.0,416.77429
2022-05-02,412.07,415.92,405.02,414.48,160312749.0,1466167.0,410.958254
2022-05-03,415.01,418.93,413.36,416.38,102021088.0,854787.0,416.170578
2022-05-04,417.08,429.66,413.7099,429.06,146219632.0,1465495.0,421.261871
2022-05-05,424.55,425.0,409.44,413.81,175971084.0,1586339.0,414.973636
2022-05-06,411.1,414.8,405.73,411.34,153284691.0,1529625.0,410.237083
2022-05-09,405.1,406.41,396.5,398.17,155879661.0,1422455.0,401.230595
2022-05-10,404.49,406.08,394.82,399.09,135027626.0,1467440.0,399.85982
2022-05-11,398.07,404.04,391.96,392.75,144045270.0,1530008.0,397.464628
2022-05-12,389.37,395.8,385.15,392.34,126713465.0,1485294.0,389.854629
2022-05-13,396.71,403.18,395.61,401.72,104349084.0,857305.0,400.265639
2022-05-16,399.98,403.97,397.6,400.09,80100945.0,734542.0,400.574387
2022-05-17,406.53,408.57,402.5824,408.32,83226741.0,743976.0,406.062846
2022-05-18,403.5,403.8,390.55,391.86,117836734.0,967500.0,395.126182
2022-05-19,388.62,394.14,387.11,389.46,99939615.0,937788.0,390.357965
2022-05-20,393.25,397.03,380.54,389.63,131446436.0,1097334.0,386.245461
2022-05-23,392.83,397.73,390.38,396.92,76648121.0,714915.0,395.15103
2022-05-24,392.56,395.15,386.96,393.89,92541551.0,804229.0,391.057283
2022-05-25,392.31,399.45,391.89,397.37,92887420.0,768577.0,395.982147
2022-05-26,398.67,407.04,398.45,405.31,83804711.0,606439.0,404.707779
2022-05-27,407.91,415.3801,407.7,415.26,87207078.0,601624.0,412.60133
2022-05-31,413.55,416.46,410.03,412.93,97389986.0,713846.0,413.402171
2022-06-01,415.17,416.24,406.93,409.59,87995482.0,697750.0,410.640075
2022-06-02,409.42,417.44,407.04,417.34,81695452.0,616253.0,413.262907
2022-06-03,412.4,414.04,409.51,410.54,72004446.0,576320.0,411.292328
2022-06-06,414.78,416.609,410.5523,411.79,58402477.0,473555.0,413.175019
2022-06-07,408.1,416.22,407.61,415.74,59483946.0,481783.0,412.955517
2022-06-08,413.93,415.82,410.38,411.22,65642329.0,505050.0,412.649919
2022-06-09,409.34,411.74,401.44,401.44,88177354.0,580043.0,406.674728
2022-06-10,394.88,395.7777,389.75,389.8,135486175.0,910961.0,391.628764
2022-06-13,379.85,381.81,373.3,375.0,173443346.0,1138052.0,377.168876
2022-06-14,376.85,377.94,370.59,373.87,105591082.0,826157.0,374.188769
2022-06-15,377.36,383.9,372.12,379.2,128798622.0,1079876.0,378.339522
2022-06-16,370.51,370.94,364.0799,366.65,138951395.0,911471.0,367.08129
2022-06-17,365.51,369.38,362.17,365.86,111452712.0,824882.0,366.377372
2022-06-21,371.89,376.525,371.81,375.07,79074527.0,581114.0,374.981581
2022-06-22,370.62,378.72,370.18,374.39,91634199.0,607597.0,375.518947
2022-06-23,376.64,378.83,372.89,378.06,80303462.0,632100.0,376.116511
2022-06-24,381.4,390.09,381.365,390.08,98013848.0,629863.0,387.019806
2022-06-27,391.05,391.36,387.44,388.59,67337838.0,555371.0,389.046068
2022-06-28,390.23,393.16,380.53,380.65,88649297.0,643734.0,384.920451
2022-06-29,381.23,382.27,378.42,380.34,65793757.0,522702.0,380.363657
2022-06-30,376.24,380.6582,372.56,377.25,114444484.0,805234.0,376.857033
2022-07-01,376.56,381.7,373.8,381.24,76230298.0,604443.0,378.114662
2022-07-05,375.88,381.98,372.9,381.96,81666726.0,649492.0,377.050221
2022-07-06,382.11,385.87,379.6,383.25,71417341.0,619252.0,382.49966
2022-07-07,385.12,389.83,383.267,388.99,66586715.0,470174.0,387.930902
2022-07-08,387.27,390.64,385.66,388.67,73126115.0,512460.0,388.654196
2022-07-11,385.85,386.87,383.5,384.23,60196162.0,475891.0,384.72058
2022-07-12,383.65,386.16,378.99,380.83,63304211.0,514049.0,382.692784
2022-07-13,375.1,381.92,374.658,378.83,85453239.0,677549.0,378.914292
2022-07-14,373.61,379.0498,371.04,377.91,91022894.0,642064.0,374.957757
2022-07-15,382.55,385.25,380.54,385.13,80721517.0,489042.0,383.79446
2022-07-18,388.38,389.09,380.66,381.95,64573224.0,492283.0,385.346133
2022-07-19,386.08,392.87,385.39,392.27,80462808.0,536190.0,390.166063
2022-07-20,392.47,396.26,391.03,394.77,72028992.0,529992.0,394.267701
2022-07-21,394.16,398.84,391.63,398.79,65044042.0,524204.0,395.955315
2022-07-22,398.92,400.18,392.75,395.09,73212677.0,527753.0,395.916671
2022-07-25,395.75,396.47,393.21,395.57,54460198.0,440041.0,394.966565
2022-07-26,393.84,394.06,389.95,390.89,54110744.0,438458.0,391.615075
2022-07-27,394.36,402.88,394.05,401.04,84389399.0,597553.0,398.689209
2022-07-28,401.89,406.8,398.15,406.04,75478050.0,570082.0,403.60196
2022-07-29,407.58,413.03,406.77,411.99,88654585.0,544908.0,410.841191
2022-08-01,409.15,413.41,408.4,410.77,71138117.0,518953.0,411.059626
2022-08-02,409.12,413.0,406.82,408.06,64549577.0,505802.0,409.731569
2022-08-03,410.3,415.68,410.0,414.45,69189866.0,465615.0,413.507299
2022-08-04,414.37,415.09,412.44,414.17,46473255.0,365314.0,414.027929
2022-08-05,409.66,414.15,409.6,413.47,57663233.0,454803.0,412.239958
2022-08-08,415.25,417.62,411.83,412.99,54800278.0,422677.0,414.546522
2022-08-09,412.22,412.75,410.22,411.35,45025319.0,367153.0,411.277407
2022-08-10,418.78,420.14,416.72,419.99,70131594.0,476084.0,419.028098
2022-08-11,422.99,424.95,419.21,419.99,60543614.0,444588.0,421.773881
2022-08-12,422.03,427.21,421.03,427.1,62922310.0,396399.0,424.717573
2022-08-15,424.765,429.41,424.71,428.86,54947334.0,375076.0,427.700801
2022-08-16,427.73,431.73,426.88,429.7,60027042.0,411678.0,429.331999
2022-08-17,425.91,429.5,424.54,426.65,64678140.0,453976.0,426.761299
2022-08-18,426.86,428.61,425.5,427.89,49133661.0,332726.0,427.150051
2022-08-19,424.98,425.26,421.22,422.14,69269902.0,437150.0,422.773224
2022-08-22,417.05,417.23,412.4,413.35,79484165.0,485003.0,414.316024
2022-08-23,412.9,415.42,411.77,412.35,49771778.0,390372.0,413.132884
2022-08-24,412.11,415.1101,411.39,413.67,50531686.0,335700.0,413.431403
2022-08-25,415.24,419.56,414.09,419.51,51062473.0,339152.0,417.031441
2022-08-26,419.39,419.96,405.25,405.31,105714602.0,669022.0,410.445786
2022-08-29,402.2,405.84,401.1999,402.63,66499372.0,490122.0,403.484293
2022-08-30,403.85,404.1,396.0,398.21,87190352.0,610728.0,398.711785
2022-08-31,399.93,401.24,395.04,395.18,77635142.0,504194.0,397.443479
2022-09-01,392.89,396.78,390.04,396.42,80204169.0,597633.0,392.878791
2022-09-02,400.28,401.555,390.33,392.24,101452968.0,641089.0,395.556756
2022-09-06,393.13,394.12,388.42,390.76,77511258.0,559131.0,391.132208
2022-09-07,390.43,398.59,390.2,397.78,73982489.0,489059.0,395.409165
2022-09-08,395.39,400.86,394.12,400.38,82038578.0,553640.0,398.227914
2022-09-09,402.74,407.51,402.46,406.6,79609462.0,483476.0,405.749692
2022-09-12,408.78,411.73,408.46,410.97,70935353.0,491339.0,410.31701
2022-09-13,401.83,403.1,391.92,393.1,127102562.0,794564.0,396.838883
2022-09-14,394.47,396.2,391.12,394.6,85900310.0,542479.0,393.831614
2022-09-15,392.96,395.96,388.78,390.12,89118469.0,609227.0,391.846225
2022-09-16,384.14,386.25,382.11,385.56,105150204.0,671817.0,384.283879
2022-09-19,382.26,388.55,382.1784,388.55,74700086.0,495872.0,386.071684
2022-09-20,385.06,386.12,381.195,384.09,78403121.0,559052.0,383.86603
2022-09-21,386.11,389.31,377.38,377.39,106950971.0,815176.0,383.61324
2022-09-22,376.58,378.3,373.44,374.22,90697405.0,634131.0,375.275273
2022-09-23,370.58,370.62,363.29,367.95,123734270.0,842891.0,366.924707
2022-09-26,366.41,370.21,363.0299,364.31,93929206.0,638379.0,365.94386
2022-09-27,368.02,370.4,360.87,363.38,108682037.0,778818.0,364.642136
2022-09-28,364.38,372.3,362.6,370.53,113902548.0,711999.0,368.362402
2022-09-29,366.81,367.11,359.7,362.79,115299507.0,794135.0,362.381244
2022-09-30,361.8,365.91,357.04,357.18,156959533.0,850229.0,360.626162
2022-10-03,361.08,368.55,359.21,366.61,92907273.0,622496.0,365.171977
2022-10-04,372.4,378.0,366.5677,377.97,107566221.0,688743.0,376.394273
2022-10-05,373.39,379.46,370.95,377.09,89081904.0,583909.0,375.219357
2022-10-06,375.62,378.72,372.68,373.2,84084215.0,585050.0,374.901703
2022-10-07,368.97,373.2933,360.94,362.79,110845119.0,667068.0,364.216926
2022-10-10,363.96,364.21,357.67,360.02,77136053.0,597681.0,360.769176
2022-10-11,358.235,363.03,355.71,357.74,93767440.0,694971.0,358.762245
2022-10-12,358.17,359.8179,356.3,356.56,78063648.0,552832.0,358.048373
2022-10-13,349.205,367.51,348.11,365.97,151012977.0,1116018.0,360.528825
2022-10-14,368.55,370.26,356.96,357.63,126393363.0,821613.0,360.768904
2022-10-17,364.01,367.9799,357.2808,366.82,96144971.0,613081.0,366.586347
2022-10-18,375.13,375.45,367.52,371.13,98962943.0,678100.0,371.092871
2022-10-19,368.99,371.85,365.55,368.5,81191329.0,534024.0,368.506108
2022-10-20,368.03,372.67,364.61,365.41,89795566.0,637990.0,367.835011
2022-10-21,365.12,374.8,363.54,374.29,134419474.0,720347.0,370.760131
2022-10-24,375.89,380.06,373.11,378.87,87697246.0,627087.0,377.404097
2022-10-25,378.79,385.25,378.671,384.92,80716012.0,599910.0,383.154798
2022-10-26,381.62,387.58,381.35,382.02,104989718.0,659898.0,383.787379
2022-10-27,383.07,385.0,379.33,379.98,83114489.0,602264.0,381.629019
2022-10-28,379.87,389.52,379.68,389.02,103100112.0,597440.0,386.343814
2022-10-31,386.44,388.4,385.26,386.21,97000212.0,593420.0,386.633242
2022-11-01,390.14,390.39,383.29,384.52,85675227.0,542405.0,385.546624
2022-11-02,383.9,388.63,374.76,374.87,129869586.0,896387.0,381.393905
2022-11-03,371.465,374.2,368.79,371.01,87348809.0,642147.0,372.014603
2022-11-04,377.0,378.87,370.0,376.35,106018690.0,704416.0,374.238234
2022-11-07,377.71,380.57,375.53,379.95,68286947.0,479700.0,378.277049
2022-11-08,381.11,385.12,377.72,382.0,84641062.0,602485.0,382.082541
2022-11-09,379.93,381.14,373.61,374.13,78495470.0,595032.0,377.041946
2022-11-10,388.05,395.04,385.642,394.69,141455847.0,963919.0,391.148514
2022-11-11,395.59,399.35,393.61,398.51,93752318.0,650865.0,396.967279
2022-11-14,396.66,400.1799,394.83,395.12,71893165.0,528091.0,397.704826
2022-11-15,401.15,402.31,394.49,398.49,93194452.0,751201.0,398.801903
2022-11-16,396.78,397.78,394.79,395.45,68508454.0,485119.0,395.993559
2022-11-17,390.46,394.95,390.14,394.24,74496255.0,499524.0,392.571416
2022-11-18,397.74,397.81,393.04,396.03,92769313.0,523108.0,395.271884
2022-11-21,394.64,395.82,392.66,394.59,51243189.0,401650.0,394.472748
2022-11-22,396.63,400.07,395.1527,399.9,60429025.0,416891.0,398.281932
2022-11-23,399.55,402.93,399.31,402.42,68261628.0,476626.0,401.573894
2022-11-25,401.83,402.91,401.535,402.33,30545434.0,184647.0,402.305318
2022-11-28,399.09,400.81,395.11,395.91,68021749.0,441562.0,397.510431
2022-11-29,396.05,397.3,393.3,395.23,52310039.0,421324.0,395.154646
2022-11-30,395.49,407.68,393.48,407.68,144566653.0,814133.0,401.661571
2022-12-01,408.77,410.0,404.75,407.38,76398170.0,600444.0,407.328242
2022-12-02,402.25,407.86,402.14,406.91,85266739.0,573028.0,405.03909
2022-12-05,403.95,404.93,398.17,399.59,77289815.0,553485.0,400.969875
2022-12-06,399.42,399.99,391.64,393.83,77972217.0,613994.0,394.570567
2022-12-07,392.94,395.64,391.97,393.16,65927896.0,486280.0,393.466637
2022-12-08,395.14,397.36,393.2684,396.24,60737912.0,463709.0,395.802133
2022-12-09,394.94,397.62,393.15,393.28,81353584.0,483853.0,395.484909
2022-12-12,394.11,398.95,393.412,398.95,75405835.0,442294.0,396.379045
2022-12-13,410.22,410.49,399.07,401.97,123782534.0,894907.0,403.752566
2022-12-14,401.61,405.5,396.31,399.4,108111349.0,851107.0,401.197115
2022-12-15,394.3,395.25,387.885,389.63,117705889.0,851158.0,390.185716
2022-12-16,385.18,386.575,381.04,383.27,118935616.0,744379.0,383.313969
2022-12-19,383.47,383.82,378.28,380.02,79878103.0,521301.0,380.520396
2022-12-20,379.23,382.23,377.85,380.54,74427240.0,513483.0,380.652492
2022-12-21,383.25,387.41,382.69,386.23,78167369.0,478300.0,385.729961
2022-12-22,383.05,386.2134,374.77,380.72,100120855.0,679690.0,378.73883
2022-12-23,379.65,383.06,378.03,382.91,59746356.0,440048.0,381.401058
2022-12-27,382.79,383.15,379.65,381.4,51638180.0,429000.0,381.687532
2022-12-28,381.33,383.39,376.42,376.66,70911520.0,503138.0,378.853308
2022-12-29,379.63,384.35,379.08,383.44,66970877.0,481641.0,382.974511
2022-12-30,380.64,382.58,378.43,382.43,83957691.0,547366.0,380.729005
2023-01-03,384.37,386.43,377.831,380.82,74850731.0,590240.0,380.745269
2023-01-04,383.18,385.88,380.0,383.76,85934098.0,632808.0,383.265078
2023-01-05,381.72,381.84,378.76,379.38,76970456.0,530899.0,380.035868
2023-01-06,382.61,389.25,379.4127,388.08,104026233.0,685781.0,385.902328
2023-01-09,390.37,393.7,387.67,387.86,73978071.0,549428.0,390.656766
2023-01-10,387.25,390.65,386.27,390.58,65358094.0,471959.0,389.040646
2023-01-11,392.23,395.6,391.38,395.52,68881080.0,452704.0,393.616153
2023-01-12,396.67,398.485,392.42,396.96,90157699.0,665043.0,396.309109
2023-01-13,393.62,399.1,393.34,398.5,63859516.0,467201.0,396.718299
2023-01-17,398.48,400.23,397.06,397.77,62677281.0,437654.0,398.242945
2023-01-18,399.01,400.12,391.28,391.49,99632262.0,642981.0,394.70018
2023-01-19,389.36,391.08,387.26,388.64,86958919.0,548675.0,389.190535
2023-01-20,390.1,396.04,388.38,395.88,91540638.0,504225.0,392.969496
2023-01-23,396.72,402.645,395.72,400.63,84178797.0,568459.0,400.082313
2023-01-24,398.88,401.15,397.64,400.2,59524911.0,434104.0,399.84265
2023-01-25,395.95,400.7,393.56,400.35,84800251.0,583223.0,397.312324
2023-01-26,403.13,404.92,400.03,404.75,72287425.0,521284.0,402.67866
2023-01-27,403.655,408.16,403.44,405.68,68270538.0,494449.0,405.931049
2023-01-30,402.8,405.13,400.28,400.59,74202018.0,514525.0,402.146956
2023-01-31,401.13,406.53,400.77,406.48,86811786.0,512621.0,404.063925
2023-02-01,405.211,413.67,402.35,410.8,101459155.0,833210.0,407.75213
2023-02-02,414.86,418.31,412.88,416.78,101654463.0,724700.0,415.630859
2023-02-03,411.59,416.97,411.09,412.35,94630250.0,662995.0,413.730363
2023-02-06,409.79,411.29,408.1,409.83,60295325.0,461546.0,409.912605
2023-02-07,408.87,416.49,407.57,415.19,90990745.0,695519.0,411.944012
2023-02-08,413.13,414.53,409.93,410.65,76227462.0,529228.0,411.627628
2023-02-09,414.41,414.57,405.81,407.09,78694859.0,566609.0,409.784453
2023-02-10,405.86,408.44,405.01,408.04,70726597.0,488396.0,406.937113
2023-02-13,408.72,412.97,408.24,412.83,64913539.0,426599.0,411.58948
2023-02-14,411.24,415.05,408.511,412.64,88389313.0,627808.0,411.963394
2023-02-15,410.35,414.06,409.47,413.98,61685279.0,427502.0,412.009387
2023-02-16,408.79,412.91,408.14,408.28,76431469.0,583413.0,410.355226
2023-02-17,406.06,407.51,404.05,407.26,89166502.0,561230.0,405.822796
2023-02-21,403.06,404.16,398.82,399.09,82655924.0,559129.0,400.691052
2023-02-22,399.52,401.13,397.02,398.54,83742293.0,568097.0,398.939363
2023-02-23,401.56,402.2,396.25,400.66,96242399.0,740996.0,399.539795
2023-02-24,395.42,397.25,393.64,396.38,108144871.0,753684.0,395.377676
2023-02-27,399.87,401.29,396.75,397.73,80444736.0,592301.0,398.74887
2023-02-28,397.23,399.28,396.15,396.26,96438567.0,600688.0,397.587043
2023-03-01,395.41,396.69,393.38,394.74,99706823.0,699148.0,394.998211
2023-03-02,392.68,398.69,392.33,397.81,85404726.0,612512.0,395.376373
2023-03-03,399.71,404.45,399.03,404.19,90032260.0,642924.0,402.193907
2023-03-06,405.05,407.45,404.01,404.47,72795946.0,539397.0,405.601533
2023-03-07,404.42,404.67,397.625,398.27,108310596.0,776311.0,400.153357
2023-03-08,398.39,399.71,396.59,398.92,74746632.0,578078.0,398.186276
2023-03-09,399.74,401.48,390.53,391.56,111945322.0,849092.0,395.581285
2023-03-10,390.99,393.16,384.32,385.91,189443810.0,1382948.0,388.153271
2023-03-13,381.81,390.39,380.65,385.36,157748594.0,1390572.0,386.165088
2023-03-14,390.5,393.45,387.05,391.73,149752357.0,1032582.0,390.723432
2023-03-15,385.89,389.49,383.71,389.28,172976539.0,1334145.0,386.723831
2023-03-16,386.82,396.47,386.29,396.11,143753940.0,999801.0,392.935123
2023-03-17,393.22,394.4,388.55,389.99,140069974.0,919378.0,390.746594
2023-03-20,390.8,394.17,390.07,393.74,93055783.0,725425.0,392.564275
2023-03-21,397.24,399.41,395.58,398.91,91524248.0,629617.0,397.454895
2023-03-22,398.73,402.49,392.07,392.11,111746583.0,874190.0,397.986282
2023-03-23,395.09,399.29,390.35,393.17,119351319.0,871935.0,394.846128
2023-03-24,391.841,395.84,389.4,395.75,107684280.0,806051.0,392.872352
2023-03-27,398.12,398.92,395.56,396.49,74010408.0,569544.0,397.047641
2023-03-28,395.77,396.49,393.69,395.6,62871680.0,494862.0,395.150028
2023-03-29,399.925,401.6,398.68,401.35,77497876.0,553838.0,400.203727
2023-03-30,404.09,404.35,401.76,403.7,69840049.0,516344.0,403.277749
2023-03-31,404.66,409.7,404.55,409.39,111956715.0,694257.0,407.434197
2023-04-03,408.85,411.37,408.44,410.95,67391097.0,569791.0,409.98359
2023-04-04,411.62,411.92,407.24,408.67,66601534.0,537050.0,409.142902
2023-04-05,407.91,408.7,405.88,407.6,65200243.0,524249.0,407.224848
2023-04-06,406.77,409.48,405.678,409.19,63743345.0,482110.0,407.996383
2023-04-10,406.61,409.69,405.97,409.61,63681042.0,468057.0,407.832289
2023-04-11,410.26,411.18,408.92,409.72,59297945.0,402951.0,410.065427
2023-04-12,411.87,412.17,407.44,408.05,86420379.0,639356.0,409.703665
2023-04-13,409.18,413.84,407.9922,413.47,85814754.0,566796.0,411.780016
2023-04-14,412.81,415.09,410.06,412.46,78135828.0,592073.0,412.133862
2023-04-17,412.37,413.96,411.085,413.94,66424139.0,477935.0,412.522809
2023-04-18,415.58,415.72,412.7802,414.21,63559997.0,493081.0,414.06363
2023-04-19,412.22,415.08,412.16,414.14,55227330.0,420720.0,413.658114
2023-04-20,411.21,413.7,410.27,411.88,75840359.0,546274.0,411.935504
2023-04-21,412.19,412.68,410.17,412.2,73434638.0,480045.0,411.703492
2023-04-24,411.99,413.07,410.6,412.63,64332095.0,463295.0,412.026933
2023-04-25,410.58,411.16,406.02,406.08,97766721.0,611558.0,408.10173
2023-04-26,406.72,407.84,403.78,404.36,80447049.0,571685.0,405.666106
2023-04-27,407.0,412.69,406.74,412.41,92968369.0,614869.0,410.230423
2023-04-28,411.49,415.94,411.43,415.93,89312589.0,611065.0,414.408081
2023-05-01,415.47,417.62,415.265,415.51,62122254.0,502374.0,416.254411
2023-05-02,414.77,414.82,407.82,410.84,103998484.0,750845.0,410.494823
2023-05-03,411.36,413.87,407.77,408.02,91531769.0,737915.0,410.858464
2023-05-04,406.93,407.27,403.74,405.13,94901863.0,716763.0,405.369131
2023-05-05,408.91,413.72,408.64,412.63,87832433.0,577848.0,411.604143
2023-05-08,412.97,413.24,411.28,412.74,50046768.0,422762.0,412.479657
2023-05-09,411.13,412.09,410.6894,410.93,49220119.0,385994.0,411.300577
2023-05-10,413.88,414.535,408.87,412.85,96142922.0,691578.0,411.955869
2023-05-11,411.95,412.43,409.97,412.13,70157064.0,530526.0,411.350862
2023-05-12,413.42,413.64,409.07,411.59,70441226.0,500185.0,410.98957
2023-05-15,412.22,413.43,410.23,413.01,54289383.0,427865.0,412.048136
2023-05-16,411.86,412.815,410.24,410.25,57705495.0,447536.0,411.425832
2023-05-17,412.35,415.855,410.635,415.23,87286957.0,585039.0,413.86749
2023-05-18,414.9,419.67,414.67,419.23,97177195.0,672492.0,417.252302
2023-05-19,420.17,420.72,417.35,418.62,103625186.0,640868.0,418.932449
2023-05-22,418.64,420.39,417.35,418.79,60745399.0,493532.0,419.068605
2023-05-23,417.08,418.722,413.68,414.09,86383493.0,624936.0,415.863124
2023-05-24,412.42,412.82,409.8795,411.09,89213678.0,673415.0,411.050076
2023-05-25,414.74,416.16,412.4101,414.65,90961606.0,672404.0,414.136975
2023-05-26,415.33,420.77,415.25,420.02,93687752.0,625214.0,419.208624
